Year,Month,Country,Region,Sub_Region,Number of Tourists
2020,Jul,Kuwait,Middle East,NULL,0
2020,Jul,Lebanon,Middle East,NULL,0
2020,Jul,Oman,Middle East,NULL,0
2020,Jul,Qatar,Middle East,NULL,0
2020,Jul,Saudi Arabia,Middle East,NULL,0
2020,Jul,U.A.E.,Middle East,NULL,0
2020,Jul,Yemen,Middle East,NULL,0
2020,Jul,Other in Middle East,Middle East,NULL,0
2020,Jul,Canada,America,NULL,0
2020,Jul,Mexico,America,NULL,0
2020,Jul,Argentina,America,NULL,0
2020,Jul,The United States of America,America,NULL,0
2020,Jul,Brazil,America,NULL,0
2020,Jul,Chile,America,NULL,0
2020,Jul,Korea (Republic of),Asia and the Pacific,North-East Asia,0
2020,Jul,Macao (China),Asia and the Pacific,North-East Asia,0
2020,Jul,Mongolia,Asia and the Pacific,North-East Asia,0
2020,Jul,Taiwan,Asia and the Pacific,North-East Asia,0
2020,Jul,Brunei,Asia and the Pacific,South-East Asia,0
2020,Jul,Cambodia,Asia and the Pacific,South-East Asia,0
2020,Jul,Indonesia,Asia and the Pacific,South-East Asia,0
2020,Jul,Laos,Asia and the Pacific,South-East Asia,0
2020,Jul,Malaysia,Asia and the Pacific,South-East Asia,0
2020,Jul,Myanmar,Asia and the Pacific,South-East Asia,0
2020,Jul,Philippines,Asia and the Pacific,South-East Asia,0
2020,Jul,Singapore,Asia and the Pacific,South-East Asia,0
2020,Jul,Vietnam,Asia and the Pacific,South-East Asia,0
2020,Jul,Bangladesh,Asia and the Pacific,South Asia,0
2020,Jul,Bhutan,Asia and the Pacific,South Asia,0
2020,Jul,India,Asia and the Pacific,South Asia,0
2020,Jul,Iran,Asia and the Pacific,South Asia,0
2020,Jul,Maldives,Asia and the Pacific,South Asia,0
2020,Jul,Nepal,Asia and the Pacific,South Asia,0
2020,Jul,Pakistan,Asia and the Pacific,South Asia,0
2020,Jul,Australia,Asia and the Pacific,Oceania,0
2020,Jul,Sri Lanka,Asia and the Pacific,South Asia,0
2020,Jul,New Zealand,Asia and the Pacific,Oceania,0
2020,Jul,Other in Oceania,Asia and the Pacific,Oceania,0
2020,Jul,Denmark,Europe,Northern Europe,0
2020,Jul,Finland,Europe,Northern Europe,0
2020,Jul,Iceland,Europe,Northern Europe,0
2020,Jul,Ireland,Europe,Northern Europe,0
