Year,Month,Provinces,Region,Occupancy rate,Number of guests (people),Total number of visitors (people),Number of Thai visitors (people),Number of foreign visitors (people),Income from visitors (million baht),Income from Thai visitors (million baht),Income from foreign visitors (million baht)
2019,1,Phangnga,Southern,86.51,128033,536274,151483,384791,6062.06,929.75,5132.31
2019,1,Phatthalung,Southern,68.66,67285,120318,119521,797,181.32,178.81,2.51
2019,1,Phuket,Southern,86.05,1528585,1690776,357769,1333007,55328.2,4770.59,50557.61
2019,1,Ranong,Southern,59.33,85886,110844,103790,7054,368.38,322.82,45.56
2019,1,Satun,Southern,74.9,88512,210906,190827,20079,1762.52,1661.3,101.22
2019,1,Songkhla,Southern,74.85,431256,774786,532223,242563,6531.35,3605.37,2925.98
2019,1,Surat Thani,Southern,75.59,484886,540614,183500,357114,9795.4,1285.97,8509.43
2019,1,Trang,Southern,72.3,131744,173715,149399,24316,1250.16,1029.67,220.49
2019,1,Yala,Southern,52.53,49144,52984,9567,43417,236.37,37.04,199.33
2019,2,Chumphon,Southern,64.59,90836,113700,105149,8551,483.92,443.94,39.98
2019,2,Krabi,Southern,84.72,457421,730767,324352,406415,13653.02,5225.45,8427.57
2019,2,Nakhon Si Thammarat,Southern,64.19,201458,315268,305351,9917,1042.98,1010.99,31.99
2019,2,Narathiwat,Southern,88.33,55708,69325,33515,35810,242.15,88.33,153.82
2019,2,Pattani,Southern,79.58,18467,22939,22661,278,80.81,79.58,1.23
2019,2,Phangnga,Southern,80.32,116365,494610,114972,379638,5769.25,705.66,5063.59
2019,2,Phatthalung,Southern,71.3,67001,119842,119150,692,180.43,178.25,2.18
2019,2,Phuket,Southern,86.38,1370156,1522828,501114,1021714,45433.04,6681.99,38751.05
2019,2,Ranong,Southern,67.5,87811,113355,106278,7077,376.27,330.56,45.71
2019,2,Satun,Southern,78.49,78130,186195,168514,17681,1556.18,1467.05,89.13
2019,2,Songkhla,Southern,71.54,379226,667961,442475,225486,5717.39,2997.4,2719.99
2019,2,Surat Thani,Southern,76.58,468127,525305,211213,314092,8964.45,1480.18,7484.27
2019,2,Trang,Southern,84.56,138665,182852,157529,25323,1315.32,1085.7,229.62
2019,2,Yala,Southern,50.34,49200,53188,11355,41833,236.03,43.97,192.06
2019,3,Chumphon,Southern,67.47,96986,121596,111412,10184,518.02,470.39,47.63
2019,3,Krabi,Southern,80.89,418573,669491,289707,379784,12542.64,4667.3,7875.34
2019,3,Nakhon Si Thammarat,Southern,58.96,221618,348245,334851,13394,1151.87,1108.65,43.22
2019,3,Narathiwat,Southern,77.75,58297,72289,29489,42800,261.58,77.75,183.83
2019,3,Pattani,Southern,86.51,19957,24801,24636,165,87.24,86.51,0.73
2019,3,Phangnga,Southern,81.14,118568,502808,120821,381987,5836.42,741.54,5094.88
2019,3,Phatthalung,Southern,73.36,71762,128439,127955,484,192.98,191.44,1.54
2019,3,Phuket,Southern,85.51,1483133,1645784,477869,1167915,50668.13,6372.03,44296.1
2019,3,Ranong,Southern,67.55,94522,122332,116378,5954,400.44,361.97,38.47
2019,3,Satun,Southern,81.33,92118,220122,200167,19955,1843.21,1742.62,100.59
2019,3,Songkhla,Southern,76.34,394974,677099,425270,251829,5918.62,2880.87,3037.75
2019,3,Surat Thani,Southern,76.57,481231,535019,166757,368262,9943.66,1168.64,8775.02
2019,3,Trang,Southern,81.81,134273,177201,156329,20872,1266.7,1077.42,189.28
2019,3,Yala,Southern,54.73,46601,50066,6902,43164,224.89,26.73,198.16
2019,4,Chumphon,Southern,74.12,117864,135699,127033,8666,707.77,673.5,34.27
2019,4,Krabi,Southern,76.99,387910,747326,246313,501013,9445.72,3434.33,6011.39
2019,4,Nakhon Si Thammarat,Southern,65.96,250183,388286,384477,3809,2012.95,1992.53,20.42
2019,4,Narathiwat,Southern,69.47,65250,69519,26214,43305,363.75,122.91,240.84
2019,4,Pattani,Southern,64.29,26659,27908,27718,190,100.71,99.94,0.77
2019,4,Phangnga,Southern,75.87,91504,469889,153801,316088,4174.7,673.14,3501.56
2019,4,Phatthalung,Southern,67.01,74472,121692,118574,3118,292.98,286,6.98
2019,4,Phuket,Southern,86.2,1153120,1283781,341826,941955,34194.85,3878.37,30316.48
2019,4,Ranong,Southern,69.74,68765,83462,78948,4514,522.29,487.4,34.89
2019,4,Satun,Southern,77.6,74855,121554,97728,23826,523.5,422.45,101.05
2019,4,Songkhla,Southern,85.47,526794,690002,409092,280910,6449.24,3067.87,3381.37
2019,4,Surat Thani,Southern,74.86,443024,489566,215083,274483,7584.97,1729.78,5855.19
2019,4,Trang,Southern,78.31,112250,172032,157263,14769,960.82,840.69,120.13
2019,4,Yala,Southern,62.78,59371,63823,8906,54917,330.45,28.4,302.05
2019,5,Chumphon,Southern,70.09,113917,131108,123214,7894,684.47,653.25,31.22
2019,5,Krabi,Southern,65.34,331406,615062,236314,378748,7839.31,3294.91,4544.4
2019,5,Nakhon Si Thammarat,Southern,65.14,250839,389122,386056,3066,2017.15,2000.71,16.44
2019,5,Narathiwat,Southern,62.35,59793,63667,22440,41227,334.5,105.22,229.28
2019,5,Pattani,Southern,59.84,25054,26215,26118,97,94.56,94.17,0.39
2019,5,Phangnga,Southern,59.66,79288,407912,131544,276368,3637.3,575.73,3061.57
2019,5,Phatthalung,Southern,68.39,77579,127454,123113,4341,306.67,296.95,9.72
2019,5,Phuket,Southern,68.25,839220,930340,92991,837349,28004.85,1055.08,26949.77
2019,5,Ranong,Southern,56.29,56011,67981,64514,3467,425.09,398.29,26.8
2019,5,Satun,Southern,68.51,70882,113147,98821,14326,487.93,427.17,60.76
2019,5,Songkhla,Southern,69.88,425660,558588,334338,224250,5206.62,2507.27,2699.35
2019,5,Surat Thani,Southern,67.07,394486,432897,174696,258201,6912.83,1404.97,5507.86
2019,5,Trang,Southern,62.18,91843,140857,129242,11615,785.38,690.9,94.48
2019,5,Yala,Southern,55.24,55322,59471,8245,51226,308.04,26.29,281.75
2019,6,Chumphon,Southern,66.68,110778,127451,120207,7244,665.96,637.3,28.66
2019,6,Krabi,Southern,53.28,275731,541085,164162,376923,6811.42,2288.91,4522.51
2019,6,Nakhon Si Thammarat,Southern,54.25,209065,324718,320509,4209,1683.59,1661.03,22.56
2019,6,Narathiwat,Southern,51.66,48227,51177,11015,40162,275.04,51.66,223.38
2019,6,Pattani,Southern,81.32,21660,22668,22552,116,81.8,81.32,0.48
2019,6,Phangnga,Southern,55.67,67162,358485,81748,276737,3423.43,357.79,3065.64
2019,6,Phatthalung,Southern,63.89,64655,105663,102934,2729,254.41,248.3,6.11
2019,6,Phuket,Southern,74.97,1061379,1181192,296803,884389,31831.3,3367.54,28463.76
2019,6,Ranong,Southern,54.92,52726,64003,59443,4560,402.25,367,35.25
